1019034,09060C101
825410,51476K103
948072,091283200
1273441,19662150
73756,12010866
1488309,26927B209
1579684,64704V106
1172724,38059T106
1485964,711037101
1231346,811916105
107140,968223206
1009672,140781108
1561743,494577109
882150,09255E102
1013880,879939106
1489136,81663A105
1374535,02208R106
1556593,64828T102
1566049,M2239P109
921503,09643P207
1438893,36465E101
1035683,059460303
894239,26432K108
728249,460593106
1036044,45170X205
1088312,90456P302
1388028,358748101
34067,267888105
1393299,092524107
313807,979723815
1338065,23311P100
1378946,23353164
1551060,74906P104
1397807,03216B208
40570,369730106
763901,733174700
1107843,74758T303
1116284,302046107
1527709,59560V109
1592379,698814100
1050743,704699107
319655,798241105
912833,954235107
1397187,550021109
1374328,33817P108
1136294,37941P306
1551182,28415730
895528,46132K109
783324,927926303
1048685,591176102
1522807,11273Q109
1120914,693282105
1096199,36846Q203
1064728,704549104
1498576,100015
1492691,87074U101
1509589,097793103
1020011,927864108
880892,46131M106
1579157,92719W108
1315695,774415103
91576,53299941
827187,81616X103
1562151,22662X100
910606,758849103
738214,00770K202
726854,177835105
1375514,G6209T105
1402371,29015T504
1160142,45882L101
904163,028591105
754811,902952100
1162030,018714105
318673,814785309
1357204,265504100
1508478,G0457F107
1034665,09253N104
277595,29265N108
1503123,233051705
862692,228895108
850209,10237795
1520697,00404A109
799231,771980
902791,445369
1329099,056752108
1001907,046484101
1606645,M46135105
1009001,24338452
874243,39740200
319458,29358Y102
350199,127150308
1510295,29612619
1547635,556777100
1485001,682479100
946647,677121
1021270,307068106
1297336,75525F104
1118237,578877102
1253986,038923108
1302084,29269X102
1219601,228368106
1574815,86101X104
1322422,443628102
750686,514744
940944,10627065
18172,148411101
1333493,28238P109
1104506,457669307
1261654,913915104
743988,983919101
1518557,56064K100
907562,10954426
920532,M7946T104
1167140,22051P106
1585854,Y8213L102
1127706,67069X104
1169561,204166102
311471,746551
897419,67061E104
1483510,30219E103
1035443,015271109
933034,863111100
945764,247916208
1131399,288448327
1042810,294752100
1462586,95790A101
1389170,87612G101
1399587,09531B203
1175680,23283M101
1285819,682143102
1437106,043632108
1141103,227483104
